 * Running on http://10.244.19.130:8080/ (Press CTRL+C to quit)
10.0.3.238 - - [16/Mar/2017 15:33:48] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:48] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:48] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:49] "POST /insertdata HTTP/1.1" 200 -
10.244.19.130 - - [16/Mar/2017 15:33:49] "GET /nodedata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:49] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:50] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:50] "POST /insertdata HTTP/1.1" 200 -
10.0.3.238 - - [16/Mar/2017 15:33:50] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:50] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:50] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:51] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:51] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:52] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:52] "POST /insertdata HTTP/1.1" 200 -
10.0.3.238 - - [16/Mar/2017 15:33:52] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:52] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:52] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:53] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:53] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:54] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:54] "POST /insertdata HTTP/1.1" 200 -
